  send : 0000, 2014/08/15 14:32:35, 00, len = 1
  send : 0000, 2014/08/15 14:32:38, 00, len = 1
receive: 0000, 2014/08/15 14:36:01, 00, len = 1
receive: 0000, 2014/08/15 14:36:34, 00, len = 1
receive: 0000, 2014/08/15 14:38:21, 00, len = 1
receive: 0000, 2014/08/15 14:48:55, 00, len = 1
receive: 0000, 2014/08/15 14:56:40, 00, len = 1
receive: 0000, 2014/08/15 14:59:51, 00, len = 1
receive: 0093, 2014/08/15 15:07:31, 00, len = 1
receive: 0000, 2014/08/15 15:12:41, 00, len = 1
receive: 0000, 2014/08/15 15:17:36, 00, len = 1
receive: 0000, 2014/08/15 15:21:04, 00, len = 1
receive: 0000, 2014/08/15 15:25:02, 00, len = 1
receive: 0093, 2014/08/15 15:27:01, 00, len = 1
receive: 0000, 2014/08/15 15:33:15, 00, len = 1
receive: 0093, 2014/08/15 15:35:48, 00, len = 1
receive: 0000, 2014/08/15 15:40:38, 00, len = 1
receive: 0001, 2014/08/15 15:41:43, 00, len = 1
receive: 0093, 2014/08/15 15:43:27, 00, len = 1
receive: 0093, 2014/08/15 16:32:38, 00, len = 1
receive: 0093, 2014/08/15 16:35:53, 00, len = 1
receive: 0000, 2014/08/15 16:37:17, 00, len = 1
receive: 0081, 2014/08/15 16:38:41, B7, len = 1
receive: 0093, 2014/08/15 16:39:43, 00, len = 1
  send : 0000, 2014/08/15 16:51:45, 00, len = 1
  send : 0000, 2014/08/15 16:52:26, 00, len = 1
receive: 0081, 2014/08/15 16:59:46, B7, len = 1
receive: 0000, 2014/08/15 17:25:33, 00, len = 1
receive: 0093, 2014/08/15 17:36:29, 00, len = 1
receive: 0093, 2014/08/15 17:38:32, 00, len = 1
receive: 0093, 2014/08/15 17:45:11, 00, len = 1
receive: 0000, 2014/08/15 17:47:31, 00, len = 1
receive: 0000, 2014/08/15 17:49:06, 00, len = 1
receive: 0093, 2014/08/15 17:49:30, 00, len = 1
receive: 0000, 2014/08/15 17:51:15, 00, len = 1
receive: 0093, 2014/08/15 17:52:07, 00, len = 1
receive: 0000, 2014/08/15 17:54:24, 00, len = 1
receive: 0000, 2014/08/15 18:03:26, 00, len = 1
receive: 0093, 2014/08/15 18:04:14, 00, len = 1
receive: 0000, 2014/08/15 18:05:07, 00, len = 1
receive: 0000, 2014/08/15 18:06:06, 00, len = 1
receive: 0000, 2014/08/15 18:06:59, 00, len = 1
receive: 0093, 2014/08/15 18:08:35, 00, len = 1
receive: 0000, 2014/08/15 18:09:05, 00, len = 1
receive: 0000, 2014/08/16 11:57:09, 00, len = 1
receive: 0000, 2014/08/16 11:57:49, 00, len = 1
receive: 0000, 2014/08/16 11:58:20, 00, len = 1
receive: 0000, 2014/08/16 11:59:54, 00, len = 1
receive: 0000, 2014/08/16 12:00:22, 00, len = 1
receive: 0000, 2014/08/16 12:02:21, 00, len = 1
receive: 0000, 2014/08/16 12:34:11, 00, len = 1
receive: 0000, 2014/08/16 12:43:24, 00, len = 1
  send : 0000, 2014/08/16 12:43:33, 00, len = 1
  send : 0000, 2014/08/16 12:43:42, 00, len = 1
  send : 0000, 2014/08/16 12:43:51, 00, len = 1
receive: 0000, 2014/08/16 13:36:17, 00, len = 1
  send : 0000, 2014/08/16 13:38:50, 00, len = 1
  send : 0000, 2014/08/16 13:38:59, 00, len = 1
  send : 0000, 2014/08/16 13:39:08, 00, len = 1
  send : 0000, 2014/08/16 13:39:17, 00, len = 1
  send : 0000, 2014/08/16 13:39:26, 00, len = 1
  send : 0000, 2014/08/16 13:39:35, 00, len = 1
receive: 0093, 2014/08/16 13:44:42, 00, len = 1
receive: 0093, 2014/08/16 13:54:55, 00, len = 1
receive: 0093, 2014/08/16 14:01:34, 00, len = 1
receive: 0093, 2014/08/16 14:02:07, 00, len = 1
receive: 0093, 2014/08/16 14:04:13, 00, len = 1
receive: 0093, 2014/08/16 14:04:47, 00, len = 1
receive: 0093, 2014/08/16 14:05:18, 00, len = 1
receive: 0093, 2014/08/16 14:13:39, 00, len = 1
receive: 0093, 2014/08/16 14:15:27, 00, len = 1
receive: 0093, 2014/08/16 14:16:01, 00, len = 1
receive: 0000, 2014/08/16 14:23:28, 00, len = 1
receive: 0000, 2014/08/16 14:24:08, 00, len = 1
receive: 0000, 2014/08/16 14:24:40, 00, len = 1
receive: 0000, 2014/08/16 14:25:16, 00, len = 1
receive: 0000, 2014/08/16 14:27:18, 00, len = 1
receive: 0000, 2014/08/16 14:45:40, 00, len = 1
receive: 0000, 2014/08/16 14:45:59, 00, len = 1
receive: 0000, 2014/08/16 14:46:18, 00, len = 1
receive: 0000, 2014/08/16 14:46:37, 00, len = 1
receive: 0000, 2014/08/16 14:46:56, 00, len = 1
receive: 0000, 2014/08/16 14:47:41, 00, len = 1
receive: 0000, 2014/08/16 14:49:19, 00, len = 1
receive: 0000, 2014/08/16 14:49:55, 00, len = 1
receive: 0000, 2014/08/16 14:50:14, 00, len = 1
receive: 0000, 2014/08/16 14:50:33, 00, len = 1
receive: 0000, 2014/08/16 14:50:52, 00, len = 1
receive: 0000, 2014/08/16 14:51:11, 00, len = 1
receive: 0000, 2014/08/16 14:51:30, 00, len = 1
receive: 0000, 2014/08/16 14:51:49, 00, len = 1
receive: 0000, 2014/08/16 14:52:08, 00, len = 1
receive: 0000, 2014/08/16 14:52:27, 00, len = 1
receive: 0000, 2014/08/16 14:52:46, 00, len = 1
receive: 0000, 2014/08/16 15:07:20, 00, len = 1
receive: 0000, 2014/08/16 15:10:17, 00, len = 1
receive: 0000, 2014/08/16 15:13:26, 00, len = 1
receive: 0000, 2014/08/16 15:14:35, 00, len = 1
receive: 0000, 2014/08/16 15:15:36, 00, len = 1
receive: 0093, 2014/08/16 15:18:28, 00, len = 1
receive: 0093, 2014/08/16 15:21:00, 00, len = 1
receive: 0093, 2014/08/16 15:21:28, 00, len = 1
receive: 0093, 2014/08/16 15:21:54, 00, len = 1
receive: 0093, 2014/08/16 15:22:35, 00, len = 1
receive: 0093, 2014/08/16 15:23:01, 00, len = 1
receive: 0093, 2014/08/16 15:25:03, 00, len = 1
receive: 0000, 2014/08/16 15:26:34, 00, len = 1
receive: 0093, 2014/08/16 15:27:09, 00, len = 1
receive: 0093, 2014/08/16 15:27:49, 00, len = 1
receive: 0093, 2014/08/16 15:35:22, 00, len = 1
receive: 0093, 2014/08/16 15:37:01, 00, len = 1
receive: 0093, 2014/08/16 15:37:28, 00, len = 1
receive: 0000, 2014/08/16 15:39:18, 00, len = 1
receive: 0093, 2014/08/16 15:40:19, 00, len = 1
receive: 0093, 2014/08/16 15:40:47, 00, len = 1
receive: 0093, 2014/08/16 15:41:20, 00, len = 1
receive: 0000, 2014/08/16 15:43:25, 00, len = 1
receive: 0093, 2014/08/16 15:43:56, 00, len = 1
receive: 0000, 2014/08/16 15:44:15, 00, len = 1
receive: 0093, 2014/08/16 15:44:45, 00, len = 1
receive: 0000, 2014/08/16 15:45:04, 00, len = 1
receive: 0000, 2014/08/16 15:45:47, 00, len = 1
receive: 0093, 2014/08/16 15:47:26, 00, len = 1
receive: 0093, 2014/08/16 15:47:39, 00, len = 1
receive: 0000, 2014/08/16 15:49:49, 00, len = 1
receive: 0093, 2014/08/16 15:50:02, 00, len = 1
receive: 0093, 2014/08/16 15:50:32, 00, len = 1
receive: 0000, 2014/08/16 15:56:21, 00, len = 1
receive: 0000, 2014/08/16 15:56:47, 00, len = 1
receive: 0093, 2014/08/16 16:02:06, 00, len = 1
receive: 0093, 2014/08/16 16:03:04, 00, len = 1
receive: 0093, 2014/08/16 16:04:58, 00, len = 1
receive: 0081, 2014/08/16 16:05:58, B7, len = 1
receive: 0093, 2014/08/16 16:08:01, 00, len = 1
  send : 0000, 2014/08/16 16:08:58, 00, len = 1
receive: 0093, 2014/08/16 16:09:29, 00, len = 1
receive: 0093, 2014/08/16 16:09:55, 00, len = 1
receive: 0093, 2014/08/16 16:10:33, 00, len = 1
receive: 0000, 2014/08/16 16:13:32, 00, len = 1
